證券代碼,年月日,開盤價(元),收盤價(元)
2330,20000225,35.3391,36.064
Y9999  ,20000225,9620.92,9432.49
M2300  ,20000225,485.85,481.37
2330,20000229,36.2452,36.4264
Y9999  ,20000229,9525.65,9435.94
M2300  ,20000229,487.87,483.78
2330,20000301,37.1513,37.3326
Y9999  ,20000301,9572.24,9689.1
M2300  ,20000301,493.16,493.94
2330,20000302,37.5138,36.7889
Y9999  ,20000302,9757.08,9543.82
M2300  ,20000302,498.23,486.88
2330,20000303,36.6077,36.7889
Y9999  ,20000303,9557.66,9588.03
M2300  ,20000303,487.32,490.21
2330,20000304,37.1513,36.9701
Y9999  ,20000304,9668.21,9517.97
M2300  ,20000304,495.05,490.42
2330,20000306,36.9701,36.2452
Y9999  ,20000306,9519.8,9367.91
M2300  ,20000306,490.75,484.22
2330,20000307,35.8827,36.064
Y9999  ,20000307,9340.49,9380.07
M2300  ,20000307,482.4,483.49
2330,20000308,35.8827,35.8827
Y9999  ,20000308,9402.7,9389.49
M2300  ,20000308,484.6,485.04
2330,20000309,35.8827,36.2452
Y9999  ,20000309,9453.7,9587.27
M2300  ,20000309,487.85,498.48
2330,20000310,36.4264,35.3391
Y9999  ,20000310,9662.61,9429.6
M2300  ,20000310,503.71,489.03
2330,20000313,34.4329,32.9831
Y9999  ,20000313,9279.9,8811.95
M2300  ,20000313,478.35,456.91
2330,20000314,32.9831,33.708
Y9999  ,20000314,8728.3,8835.58
M2300  ,20000314,453.4,461.31
2330,20000315,33.5268,33.1644
Y9999  ,20000315,8794.3,8640.03
M2300  ,20000315,458.67,450.25
2330,20000316,32.4395,33.3456
Y9999  ,20000316,8472.54,8682.76
M2300  ,20000316,438.12,453.22
2330,20000317,33.5268,34.4329
Y9999  ,20000317,8700.99,8763.27
M2300  ,20000317,453.41,455.42
2330,20000320,33.3456,33.3456
Y9999  ,20000320,8509.32,8536.05
M2300  ,20000320,440.99,442.03
2330,20000321,32.2582,35.3391
Y9999  ,20000321,8438.24,9004.48
M2300  ,20000321,436.31,469.94
2330,20000322,34.7954,34.7954
Y9999  ,20000322,9009.25,9069.39
M2300  ,20000322,470.68,479.77
2330,20000323,35.1578,36.4264
Y9999  ,20000323,9198.45,9533.87
M2300  ,20000323,489.71,506.59
2330,20000324,36.4264,35.8827
Y9999  ,20000324,9565.24,9482.64
M2300  ,20000324,509.03,509.87
2330,20000327,36.2452,38.2387
Y9999  ,20000327,9531.91,9807.57
M2300  ,20000327,514.94,536.47
2330,20000328,38.4199,37.8762
Y9999  ,20000328,9884.18,9856.6
M2300  ,20000328,543.03,539.5
2330,20000329,37.695,36.9701
Y9999  ,20000329,9852.48,9805.69
M2300  ,20000329,538.58,537.6
2330,20000330,36.9701,37.695
Y9999  ,20000330,9827.85,9931.94
M2300  ,20000330,537.46,545.7
2330,20000331,37.5138,37.1513
Y9999  ,20000331,9890.89,9854.95
M2300  ,20000331,541.41,536.34
2330,20000401,37.3326,38.0575
Y9999  ,20000401,9892.78,10050.43
M2300  ,20000401,538.93,556.45
2330,20000405,36.4264,37.695
Y9999  ,20000405,9923.74,10186.17
M2300  ,20000405,544.74,562.93
2330,20000406,37.695,36.6077
Y9999  ,20000406,10225.77,9969.28
M2300  ,20000406,564.15,543.31
2330,20000407,36.9701,36.2452
Y9999  ,20000407,10035.26,9921.03
M2300  ,20000407,546.88,543.02
2330,20000408,36.6077,36.2452
Y9999  ,20000408,10009.75,9934.57
M2300  ,20000408,549.98,550.23
2330,20000410,36.4264,38.0575
Y9999  ,20000410,9962.65,10127.48
M2300  ,20000410,552.66,563.09
2330,20000411,37.695,37.1513
Y9999  ,20000411,10104.87,10068.05
M2300  ,20000411,559.54,555.33
2330,20000412,36.6077,36.2452
Y9999  ,20000412,10067.27,9911.39
M2300  ,20000412,553.51,540.88
2330,20000413,34.4329,34.7954
Y9999  ,20000413,9720.67,9662.6
M2300  ,20000413,524.52,523.34
2330,20000414,33.5268,33.708
Y9999  ,20000414,9517.45,9374.61
M2300  ,20000414,510.58,502.79
2330,20000415,31.3521,31.8958
Y9999  ,20000415,9086.36,8866.8
M2300  ,20000415,484.66,475.61
2330,20000417,31.8958,32.4395
Y9999  ,20000417,8848.16,8993.68
M2300  ,20000417,474.64,487.11
2330,20000418,34.2517,34.2517
Y9999  ,20000418,9220.96,9307.03
M2300  ,20000418,503.23,506.7
2330,20000419,35.1578,33.1644
Y9999  ,20000419,9435.02,9104.4
M2300  ,20000419,516.02,494.21
2330,20000420,33.1644,33.708
Y9999  ,20000420,9084.86,9109.05
M2300  ,20000420,492.58,494.43
2330,20000421,33.8893,33.708
Y9999  ,20000421,9130.32,9120.48
M2300  ,20000421,494.13,492.97
2330,20000424,33.708,32.6207
Y9999  ,20000424,9128.95,8808.09
M2300  ,20000424,493.18,473.33
2330,20000425,32.6207,33.8893
Y9999  ,20000425,8711.68,8921.12
M2300  ,20000425,466.24,486.13
2330,20000426,34.6142,33.5268
Y9999  ,20000426,8992.62,8535.96
M2300  ,20000426,491.58,467.3
2330,20000427,34.2517,34.0705
Y9999  ,20000427,8587.03,8541.95
M2300  ,20000427,473.32,471.53
2330,20000428,34.6142,35.7015
Y9999  ,20000428,8595.01,8824.36
M2300  ,20000428,476.68,492.23
2330,20000429,35.7015,35.3391
Y9999  ,20000429,8835.17,8777.35
M2300  ,20000429,493.54,489.9
2330,20000502,35.5203,34.9766
Y9999  ,20000502,8836.83,8638.75
M2300  ,20000502,494.3,482.19
2330,20000503,34.6142,34.0705
Y9999  ,20000503,8537.35,8420
M2300  ,20000503,476.15,468.03
2330,20000504,34.0705,33.8893
Y9999  ,20000504,8444.07,8425.38
M2300  ,20000504,469.24,460.86
2330,20000505,33.5268,34.7954
Y9999  ,20000505,8389.9,8698.53
M2300  ,20000505,457.57,478.03
2330,20000506,34.7954,34.4329
Y9999  ,20000506,8699.48,8657.13
M2300  ,20000506,478,474.15
2330,20000508,34.4329,34.9766
Y9999  ,20000508,8669.47,8616.18
M2300  ,20000508,474.88,472.59
2330,20000509,34.9766,34.9766
Y9999  ,20000509,8607.65,8635.84
M2300  ,20000509,471.51,470.57
2330,20000510,35.1578,34.0705
Y9999  ,20000510,8693.87,8559.87
M2300  ,20000510,474.65,466.33
2330,20000511,32.9831,32.4395
Y9999  ,20000511,8427.34,8349.91
M2300  ,20000511,454.9,448.34
2330,20000512,32.9831,33.5268
Y9999  ,20000512,8472.82,8560.44
M2300  ,20000512,456.64,457.79
2330,20000515,34.6561,33.2416
Y9999  ,20000515,8639.94,8465.02
M2300  ,20000515,463.15,448.09
2330,20000516,34.0667,35.2455
Y9999  ,20000516,8534.18,8727.82
M2300  ,20000516,452.86,470.94
2330,20000517,36.7779,37.4852
Y9999  ,20000517,8885.24,9085.74
M2300  ,20000517,484.03,494.8
2330,20000518,37.2494,38.4282
Y9999  ,20000518,9040.33,9087.21
M2300  ,20000518,492.16,497
2330,20000519,37.721,38.1925
Y9999  ,20000519,9034.41,9119.77
M2300  ,20000519,491.83,495.81
2330,20000520,38.1925,37.721
Y9999  ,20000520,9093.14,8820.35
M2300  ,20000520,492.58,481.31
2330,20000522,37.721,37.2494
Y9999  ,20000522,8903.32,8807.57
M2300  ,20000522,485.36,479.59
2330,20000523,37.2494,36.0707
Y9999  ,20000523,8811.44,8671.01
M2300  ,20000523,480.53,470
2330,20000524,34.6561,35.0098
Y9999  ,20000524,8496.06,8500.41
M2300  ,20000524,456.8,458.03
2330,20000525,35.1276,34.3025
Y9999  ,20000525,8609.8,8438.1
M2300  ,20000525,465.04,452.32
2330,20000526,33.9489,34.3025
Y9999  ,20000526,8397.01,8559.46
M2300  ,20000526,448.98,457.79
2330,20000529,34.3025,34.3025
Y9999  ,20000529,8593.62,8588.25
M2300  ,20000529,459.32,459.27
2330,20000530,34.6561,35.5992
Y9999  ,20000530,8668.7,8764.42
M2300  ,20000530,464.81,473.09
2330,20000531,37.0137,37.0137
Y9999  ,20000531,8951.11,8939.52
M2300  ,20000531,487.35,487.53
2330,20000601,36.7779,36.0707
Y9999  ,20000601,8936.43,8842.63
M2300  ,20000601,486.9,481.58
2330,20000602,37.0137,36.5422
Y9999  ,20000602,8979.78,8883.45
M2300  ,20000602,492.12,485.8
2330,20000603,37.4852,37.0137
Y9999  ,20000603,9017.03,8935.64
M2300  ,20000603,495.84,488.84
2330,20000605,37.0137,37.2494
Y9999  ,20000605,8961.36,8958.21
M2300  ,20000605,490.23,492.18
2330,20000607,36.7779,37.9567
Y9999  ,20000607,8943.63,9115.47
M2300  ,20000607,490.83,508.7
2330,20000608,37.9567,37.0137
Y9999  ,20000608,9151.31,9067.88
M2300  ,20000608,511.03,501.49
2330,20000609,37.2494,37.2494
Y9999  ,20000609,9113.07,9036.66
M2300  ,20000609,505.39,503.62
2330,20000612,37.721,37.0137
Y9999  ,20000612,9065.22,8955.44
M2300  ,20000612,506.53,502.48
2330,20000613,36.7779,36.5422
Y9999  ,20000613,8905.45,8891.09
M2300  ,20000613,499.01,499.29
2330,20000614,37.2494,36.3064
Y9999  ,20000614,8978.65,8935.23
M2300  ,20000614,506.32,502.62
2330,20000615,36.3064,35.3634
Y9999  ,20000615,8932.59,8844.97
M2300  ,20000615,501.71,495.51
2330,20000616,35.3634,35.3634
Y9999  ,20000616,8852.32,8832.15
M2300  ,20000616,495.96,493.91
2330,20000617,35.3634,35.2455
Y9999  ,20000617,8827.35,8770.8
M2300  ,20000617,493.44,490.46
2330,20000619,35.2455,34.8919
Y9999  ,20000619,8786.37,8751.1
M2300  ,20000619,491.17,489.17
2330,20000620,35.5992,35.0098
Y9999  ,20000620,8852.97,8690.66
M2300  ,20000620,496.86,484.43
2330,20000621,35.0098,34.6561
Y9999  ,20000621,8733.2,8637.6
M2300  ,20000621,487.71,483.51
2330,20000622,34.4204,35.1276
Y9999  ,20000622,8623.4,8771.77
M2300  ,20000622,484.56,493.97
2330,20000623,34.8919,34.4204
Y9999  ,20000623,8742.21,8684.93
M2300  ,20000623,491.36,487.25
2330,20000626,34.0667,33.3595
Y9999  ,20000626,8672.8,8529.56
M2300  ,20000626,485.39,475.58
2330,20000627,33.4774,33.3595
Y9999  ,20000627,8569.35,8424.17
M2300  ,20000627,478.18,469.43
2330,20000628,33.5952,33.9489
Y9999  ,20000628,8429.05,8365.63
M2300  ,20000628,470.03,470.86
2330,20000629,34.4204,33.5952
Y9999  ,20000629,8433.9,8120.89
M2300  ,20000629,475.83,457.72
2330,20000630,33.7133,34.4205
Y9999  ,20000630,8159.41,8265.09
M2300  ,20000630,459.4,462.72
2330,20000703,33.7133,33.8311
Y9999  ,20000703,8260.95,8297.77
M2300  ,20000703,460.85,455.12
2330,20000704,33.8311,33.2417
Y9999  ,20000704,8329.77,8052.54
M2300  ,20000704,456.27,442.26
2330,20000705,33.5954,35.1278
Y9999  ,20000705,8079.28,8421.74
M2300  ,20000705,443.73,464.68
2330,20000706,34.1848,34.1848
Y9999  ,20000706,8291.27,8289.39
M2300  ,20000706,454.11,451.4
2330,20000707,34.1848,33.4775
Y9999  ,20000707,8318.47,8173.08
M2300  ,20000707,453.65,444.57
2330,20000710,33.5954,33.8311
Y9999  ,20000710,8209.86,8154.67
M2300  ,20000710,446.8,442.58
2330,20000711,33.7133,33.949
Y9999  ,20000711,8153.81,8158.63
M2300  ,20000711,442.03,444.29
2330,20000712,33.949,33.8311
Y9999  ,20000712,8168.56,8059.75
M2300  ,20000712,445.26,445.05
2330,20000713,33.949,34.1848
Y9999  ,20000713,8101.38,8267.66
M2300  ,20000713,450.05,458.64
2330,20000714,34.1848,34.4205
Y9999  ,20000714,8309.67,8497.13
M2300  ,20000714,461.85,469.57
2330,20000715,34.6563,34.3026
Y9999  ,20000715,8569.4,8518.13
M2300  ,20000715,474.66,470.28
2330,20000717,34.4205,33.8311
Y9999  ,20000717,8601.26,8585.52
M2300  ,20000717,473.02,466.37
2330,20000718,33.8311,33.4775
Y9999  ,20000718,8582.75,8368.78
M2300  ,20000718,466.9,456.47
2330,20000719,33.2417,33.4775
Y9999  ,20000719,8275.48,8411.88
M2300  ,20000719,450.11,458.51
2330,20000720,33.2417,31.8272
Y9999  ,20000720,8355.21,8219.53
M2300  ,20000720,454.34,443.95
2330,20000721,31.8272,30.6484
Y9999  ,20000721,8273.04,8167.37
M2300  ,20000721,446.6,439.15
2330,20000724,30.2948,29.8233
Y9999  ,20000724,8132.39,8064.2
M2300  ,20000724,435.74,430.93
2330,20000725,29.2339,29.5875
Y9999  ,20000725,7984.79,7900.39
M2300  ,20000725,425.21,421.45
2330,20000726,29.9411,30.6484
Y9999  ,20000726,7944.9,7961.54
M2300  ,20000726,424.43,426.29
2330,20000727,30.2948,30.4127
Y9999  ,20000727,7932.86,7956.28
M2300  ,20000727,424.01,424.5
2330,20000728,29.4696,30.059
Y9999  ,20000728,7861.04,8122.11
M2300  ,20000728,415.79,430.03
2330,20000729,29.9411,30.1769
Y9999  ,20000729,8086.63,8143.93
M2300  ,20000729,426.79,428.65
2330,20000731,30.059,29.9411
Y9999  ,20000731,8154.99,8114.92
M2300  ,20000731,428.4,425.26
2330,20000801,30.2948,29.7054
Y9999  ,20000801,8171.58,7984.65
M2300  ,20000801,429.81,419.76
2330,20000802,29.8233,29.4696
Y9999  ,20000802,7985.83,7916.85
M2300  ,20000802,419.7,413.8
2330,20000803,29.4696,28.7624
Y9999  ,20000803,7888.32,7844.93
M2300  ,20000803,411.27,409.65
2330,20000804,28.8802,29.5875
Y9999  ,20000804,7881.72,7925.2
M2300  ,20000804,411.85,416.49
2330,20000805,29.7054,29.7054
Y9999  ,20000805,7926.79,7841.43
M2300  ,20000805,416.11,409.8
2330,20000807,29.7054,28.9981
Y9999  ,20000807,7804,7715.99
M2300  ,20000807,406.83,404.08
2330,20000808,28.9981,29.5875
Y9999  ,20000808,7751.28,7797.78
M2300  ,20000808,406.47,410.22
2330,20000809,29.8233,30.6484
Y9999  ,20000809,7866.11,8048.14
M2300  ,20000809,414.04,427.53
2330,20000810,31.002,31.3557
Y9999  ,20000810,8087.1,8024.69
M2300  ,20000810,430.92,429.63
2330,20000811,31.1199,30.8842
Y9999  ,20000811,8012.64,7974.65
M2300  ,20000811,428.3,426.55
2330,20000814,30.8842,30.6484
Y9999  ,20000814,7977.42,7848.87
M2300  ,20000814,426.28,418.16
2330,20000815,31.1199,30.7663
Y9999  ,20000815,7883.84,7845.69
M2300  ,20000815,420.88,419.47
2330,20000816,30.7663,31.8272
Y9999  ,20000816,7870.58,8003.53
M2300  ,20000816,421.66,431.94
2330,20000817,32.2987,32.5345
Y9999  ,20000817,8059.02,8143.25
M2300  ,20000817,436.68,443.63
2330,20000818,32.7702,32.8881
Y9999  ,20000818,8192.3,8176.82
M2300  ,20000818,446.89,445.12
2330,20000819,32.8881,32.6523
Y9999  ,20000819,8195.25,8209.07
M2300  ,20000819,446.21,449.89
2330,20000821,32.6523,32.5345
Y9999  ,20000821,8232.91,8257.88
M2300  ,20000821,451.43,453.76
2330,20000822,32.5345,32.2987
Y9999  ,20000822,8244.42,8118.05
M2300  ,20000822,452.5,444.58
2330,20000824,32.5345,32.8881
Y9999  ,20000824,8162,8098.84
M2300  ,20000824,447.85,447.53
2330,20000825,33.006,33.1239
Y9999  ,20000825,8120.96,8026.32
M2300  ,20000825,449.39,443.81
2330,20000828,32.8881,32.5345
Y9999  ,20000828,7985.45,7845.87
M2300  ,20000828,441.37,432.99
2330,20000829,32.5345,32.2987
Y9999  ,20000829,7769.93,7817.49
M2300  ,20000829,428.99,437.28
2330,20000830,32.063,31.8272
Y9999  ,20000830,7784.74,7543.96
M2300  ,20000830,436.15,424.23
2330,20000831,31.3557,31.7093
Y9999  ,20000831,7458.34,7616.98
M2300  ,20000831,419.89,427.99
2330,20000901,31.8272,30.6484
Y9999  ,20000901,7659.82,7420.06
M2300  ,20000901,431.31,418.47
2330,20000902,30.4127,31.3557
Y9999  ,20000902,7442.37,7707.59
M2300  ,20000902,418.74,433.52
2330,20000904,31.3557,31.4736
Y9999  ,20000904,7758.54,7803.02
M2300  ,20000904,436.21,437.05
2330,20000905,31.4736,31.5914
Y9999  ,20000905,7829.34,7785.62
M2300  ,20000905,438.73,438.31
2330,20000906,31.1199,30.8842
Y9999  ,20000906,7725.01,7610.78
M2300  ,20000906,434.06,428.7
2330,20000907,29.8233,29.5875
Y9999  ,20000907,7467.94,7430.93
M2300  ,20000907,417.3,413.63
2330,20000908,29.5875,29.3517
Y9999  ,20000908,7457.86,7367.99
M2300  ,20000908,415.26,404.42
2330,20000911,29.116,29.2339
Y9999  ,20000911,7297.78,7335.2
M2300  ,20000911,398.49,402.61
2330,20000913,28.7624,29.2339
Y9999  ,20000913,7279.36,7391.66
M2300  ,20000913,397.66,406.96
2330,20000914,28.6445,28.2908
Y9999  ,20000914,7348.81,7152.29
M2300  ,20000914,403.84,391.84
2330,20000915,28.7624,28.8802
Y9999  ,20000915,7160.01,7155.45
M2300  ,20000915,393.34,393.81
2330,20000916,28.5266,28.6445
Y9999  ,20000916,7096.49,7053.29
M2300  ,20000916,390.79,393.27
2330,20000918,28.2908,28.5266
Y9999  ,20000918,6990.48,6910.14
M2300  ,20000918,390.37,387.94
2330,20000919,27.8193,26.6405
Y9999  ,20000919,6811.72,6734.9
M2300  ,20000919,382.78,376.13
2330,20000920,27.2299,27.1121
Y9999  ,20000920,6843.95,6880.09
M2300  ,20000920,384.6,380.7
2330,20000921,26.6405,26.9942
Y9999  ,20000921,6818.96,6920.9
M2300  ,20000921,376.54,378.79
2330,20000922,25.1081,25.1081
Y9999  ,20000922,6737.54,6612.09
M2300  ,20000922,362.72,356.13
2330,20000925,25.4618,25.1081
Y9999  ,20000925,6618.16,6677.46
M2300  ,20000925,355.5,356.69
2330,20000926,25.1081,26.7584
Y9999  ,20000926,6647.94,6749.03
M2300  ,20000926,353.68,366.99
2330,20000927,26.5227,26.169
Y9999  ,20000927,6706.45,6717.04
M2300  ,20000927,363.87,363.3
2330,20000928,26.169,25.1081
Y9999  ,20000928,6744.79,6564.87
M2300  ,20000928,364.73,352.57
2330,20000929,25.1081,24.5187
Y9999  ,20000929,6571.62,6432.36
M2300  ,20000929,352.01,342.1
2330,20000930,23.5757,23.5757
Y9999  ,20000930,6228.86,6185.14
M2300  ,20000930,327.34,325.73
2330,20001002,23.5757,23.2221
Y9999  ,20001002,6165.64,6024.07
M2300  ,20001002,324.42,314.33
2330,20001003,22.8684,24.283
Y9999  ,20001003,5943.79,6143.44
M2300  ,20001003,307.97,317.73
2330,20001004,23.4578,23.4578
Y9999  ,20001004,5989.45,5997.92
M2300  ,20001004,308.82,307.43
2330,20001005,23.1042,24.283
Y9999  ,20001005,5932.79,6029.65
M2300  ,20001005,302.04,309.86
2330,20001006,24.283,25.9333
Y9999  ,20001006,6037.54,6353.67
M2300  ,20001006,309.47,329.27
2330,20001007,26.169,26.169
Y9999  ,20001007,6385.39,6352.03
M2300  ,20001007,332.17,331.93
2330,20001009,25.6975,25.3439
Y9999  ,20001009,6336.3,6209.42
M2300  ,20001009,330.38,322.33
2330,20001011,24.5187,24.5187
Y9999  ,20001011,6070.43,6040.55
M2300  ,20001011,312.96,312.84
2330,20001012,22.9863,22.8684
Y9999  ,20001012,5850.26,5805.01
M2300  ,20001012,298.87,295.77
2330,20001013,21.336,22.7506
Y9999  ,20001013,5577.86,5876.11
M2300  ,20001013,280.83,296.05
2330,20001016,24.1651,21.5718
Y9999  ,20001016,6060.44,5630.95
M2300  ,20001016,307.07,280.08
2330,20001017,21.2181,22.1612
Y9999  ,20001017,5512,5702.36
M2300  ,20001017,271.83,281.57
2330,20001018,21.9254,20.6287
Y9999  ,20001018,5606.53,5432.23
M2300  ,20001018,273.88,264.24
2330,20001019,19.5678,19.2142
Y9999  ,20001019,5261.94,5081.28
M2300  ,20001019,252.68,246.42
2330,20001020,20.5109,20.5109
Y9999  ,20001020,5241.57,5404.78
M2300  ,20001020,256.18,262.14
2330,20001021,21.9254,21.9254
Y9999  ,20001021,5528.36,5599.74
M2300  ,20001021,271.89,274.82
2330,20001023,23.4578,23.4578
Y9999  ,20001023,5644.73,5680.95
M2300  ,20001023,279.56,283.61
2330,20001024,23.4578,24.9902
Y9999  ,20001024,5701.15,5918.63
M2300  ,20001024,285.86,300.85
2330,20001025,24.6366,25.3439
Y9999  ,20001025,5914.37,6023.78
M2300  ,20001025,300.31,310.82
2330,20001026,24.5187,24.8724
Y9999  ,20001026,5937.22,5941.85
M2300  ,20001026,304.06,305.1
2330,20001027,25.8154,24.0472
Y9999  ,20001027,5991.83,5805.17
M2300  ,20001027,309.5,297.09
2330,20001030,23.2221,23.2221
Y9999  ,20001030,5644.26,5659.08
M2300  ,20001030,287.81,287.31
2330,20001031,22.5148,23.1042
Y9999  ,20001031,5530.8,5544.18
M2300  ,20001031,278.82,280.89
2330,20001101,23.8115,22.8684
Y9999  ,20001101,5552.3,5425.02
M2300  ,20001101,282.37,274.64
2330,20001102,22.9863,24.4008
Y9999  ,20001102,5385.54,5626.08
M2300  ,20001102,271.18,285.79
2330,20001103,25.4618,25.8154
Y9999  ,20001103,5723.35,5796.08
M2300  ,20001103,292.13,298.25
2330,20001104,25.8154,24.9902
Y9999  ,20001104,5858.11,5677.3
M2300  ,20001104,302.19,290.71
2330,20001106,24.8724,25.6975
Y9999  ,20001106,5679.09,5657.48
M2300  ,20001106,289.67,292.27
2330,20001107,26.8763,27.4657
Y9999  ,20001107,5721.88,5877.77
M2300  ,20001107,297.53,309.3
2330,20001108,28.0551,27.5836
Y9999  ,20001108,5926.4,6067.94
M2300  ,20001108,312.96,318.96
2330,20001109,27.1121,27.1121
Y9999  ,20001109,6025.16,6089.55
M2300  ,20001109,315.14,320.61
2330,20001110,26.4048,26.8763
Y9999  ,20001110,6039.19,6088.74
M2300  ,20001110,315.86,319.22
2330,20001113,25.1081,25.1081
Y9999  ,20001113,5878.64,5793.52
M2300  ,20001113,303.16,300.19
2330,20001114,24.9902,25.1081
Y9999  ,20001114,5747,5772.51
M2300  ,20001114,296.09,297.51
2330,20001115,25.9333,25.226
Y9999  ,20001115,5896.64,5737.02
M2300  ,20001115,306.66,295.57
2330,20001116,23.5757,23.5757
Y9999  ,20001116,5554,5454.13
M2300  ,20001116,285.83,281.48
2330,20001117,21.9254,23.2221
Y9999  ,20001117,5264.93,5351.36
M2300  ,20001117,268.8,279.34
2330,20001118,22.5148,22.1612
Y9999  ,20001118,5255.66,5167.35
M2300  ,20001118,273.97,268.23
2330,20001120,20.7466,20.7466
Y9999  ,20001120,4994.73,4845.21
M2300  ,20001120,256.81,250.95
2330,20001121,20.5109,22.1612
Y9999  ,20001121,4770.78,5103
M2300  ,20001121,246.99,266.73
2330,20001122,22.279,21.4539
Y9999  ,20001122,5128.98,5130.61
M2300  ,20001122,269.25,265.91
2330,20001123,20.8645,20.9824
Y9999  ,20001123,5057.3,5146.92
M2300  ,20001123,261.01,265.96
2330,20001124,21.4539,22.3969
Y9999  ,20001124,5218.18,5419.99
M2300  ,20001124,271.45,280.93
2330,20001127,23.1042,22.279
Y9999  ,20001127,5510.8,5433.78
M2300  ,20001127,287.92,281.68
2330,20001128,22.0433,21.8075
Y9999  ,20001128,5388.68,5362.26
M2300  ,20001128,278.13,276.11
2330,20001129,21.336,21.336
Y9999  ,20001129,5275.38,5319.46
M2300  ,20001129,270.02,271.58
2330,20001130,21.336,21.1003
Y9999  ,20001130,5323.7,5256.93
M2300  ,20001130,271.98,267.9
2330,20001201,20.5109,21.5718
Y9999  ,20001201,5173.02,5342.06
M2300  ,20001201,262.79,273.35
2330,20001202,21.5718,21.2181
Y9999  ,20001202,5346.93,5277.35
M2300  ,20001202,273.3,267.78
